"movieTitle" "popular" "good" "bad"
"277" 貞子<U+202C> VS <U+202A>伽椰子 0 0 0
"278" 封神傳奇 8 0 3
"279" 航海王電影Gold 0 0 0
"280" 霓虹惡魔 10 2 2
"281" 蠟筆小新: 爆睡! 0 0 0
"282" 丹麥共居生活 1 0 0
"283" 醉後之旅 1 0 0
"284" 進擊的摔角男孩 2 0 1
"285" 電影版櫻桃小丸子 9 1 1
"286" 哭聲 76 20 6
"287" 大審判家 5 2 0
"288" 暴亂夜 1 0 0
"289" 從好久以前就喜歡你 1 0 1
"290" 零日網路戰 1 1 0
"291" 聽見愛你的聲音 1 0 0
"292" 地獄哪有那麼HIGH 8 4 0
"293" 十年 77 16 1
"294" 我出去一下 11 4 0
"295" 如果這世界貓消失了 33 19 3
"296" 瘋狂邁爾士 3 1 0
"297" 推銷員之戀 4 2 0
"298" 變蟲人 2 0 1
"299" 攻佔羅浮宮 3 0 0
"300" 愛情天文學 13 2 2
"301" 賞金獵人 4 0 0
"302" 我的老爸喵星人 8 4 1
"303" 婚禮玩很大 2 0 0
"304" BJ有喜 26 14 0
"305" 神鬼駭客:史諾登 0 0 0
"306" 怪奇孤兒院 77 24 7
"307" 蘇珊夫人尋婚計 6 3 0
"308" 玩命直播 27 8 0
"309" 終極飆靶 7 1 0
"310" 赴湯蹈火 12 10 0
"311" 暫時停止呼吸 47 18 6
"312" 屍速列車 886 202 72
"313" 薩利機長 73 40 2
"314" 使徒行者 26 12 0
"315" 終極舞班 4 0 1
"316" 特厲鬼屋 6 0 5
"317" 魔詭 4 0 2
"318" 鬼打牆 8 2 0
"319" 插旗攻城市 3 1 0
"320" 我的蛋男情人 22 7 7
"321" S風暴 1 0 0
"322" 報告班長7 8 1 1
"323" 納粹龐克 1 0 0
"324" 代號: 鐵鉻行動 1 1 0
"325" 非普通型男 2 1 0
"326" 殿下萬萬稅 7 2 0
"327" 藥命真相 1 0 1
"328" 明天別再來敲門 20 9 0
"329" Lady's 尖頭們 0 0 0
"330" 愛與黑暗的故事 8 3 1
"331" 白晝之雨 5 3 0
"332" 比海還深 31 20 0
"333" 吸血鬼腥靈診療 1 0 0
"334" 最後一次自由 3 0 0
"335" NY單身日記 9 3 0
"336" 性愛巴弒 1 0 0
"337" 超自然研究會 2 0 0
"338" 遊戲王: 2 1 0
"339" 次元的黑暗面 9 6 0
"340" 時空叛逃者 6 2 0
"341" 大藝術家與我 1 0 0
"342" 天才柏金斯 9 4 0
"343" 甜蜜的哀傷 1 1 0
"344" 植物圖鑑 2 0 1
"345" 送子鳥 12 4 0
"346" 會計師 132 39 7
"347" 神隱任務2 15 1 4
"348" 奇異博士 272 58 10
"349" 怒火 61 17 1
"350" 地平線 42 11 0
"351" 地獄 124 34 9
"352" 碟仙2 1 0 0
"353" 獵愛大臨演 0 0 0
"354" 湄公河行動 11 1 3
"355" 時尚帝國合約的開始 2 0 0
"356" 起源:首爾車站 1 0 0
"357" 鬼才要畢業 4 0 0
"358" 為妳說的謊 14 6 2
"359" 巴黎走音天后 14 5 0
"360" 你的名字 593 172 31
"361" 愛是一隻貓 3 1 0
"362" 絕地7騎士 19 5 0
"363" 神廚東京壯遊記 6 4 0
"364" 鬼開門 4 0 1
"365" 幸運是我 5 1 0
"366" 列車上的女孩 14 2 0
"367" 完美陌生人 22 14 0
"368" 德布西森林 14 3 2
"369" 我的型男老闆 8 1 0
"370" 重返心原點 6 1 0
"371" 怒 176 32 5
"372" 美國心風暴 4 0 0
"373" 已經很想妳 4 3 0
"374" 笨賊樂盜家 3 0 0
